904.43, 38.9841, 15
79.1827, 3.36098, 20, 4, 4, 6.58071, 17.9847
0.287431, 1, 18, 0, 0, 3.83554, 4.12884
0, 1, 16, 0, 0, 3.24245, 1.22939
0, 1, 34, 0, 0, 8.20534, 4.17777
0, 1, 40, 0, 0, 9.83865, 2.23619
131.049, 11.7593, 54, 5, 3, 15.8682, 4.01746
67.7247, 6.1214, 42, 17, 9, 17.7845, 12.2743
224.364, 3.52294, 22, 0, 4, 6.04716, 1.72546
238.271, 21.2465, 70, 4, 10, 21.9805, 2.31413
1.27164, 1.65778, 142, 0, 0, 37.7512, 5.1839
1.72941, 1.32654, 38, 0, 0, 9.26628, 2.06524
1.13003, 1.23003, 50, 0, 0, 12.5655, 3.18416
0.831871, 1.55918, 108, 0, 0, 28.4275, 1.88039
1088.29, 16.469, 44, 0, 4, 11.9658, 1.82441
412.119, 16.5548, 41, 2, 11, 13.844, 3.30141
671.722, 1.40597, 40, 385, 137, 153.205, 2.76788
1.29684, 1.79008, 22, 0, 0, 4.88868, 3.07868
722.93, 29.3457, 33, 2, 9, 11.0265, 4.46884
nan, 38.0637, 421, 0, 3, 118.238, 2.22643
366.344, 11.2697, 61, 1, 8, 18.0627, 32.1338
873.162, 25.1576, 56, 1, 5, 15.8384, 11.0789
115.085, 17.6971, 74, 0, 2, 19.7594, 1.73135
709.727, 50.5609, 170, 3, 13, 50.0641, 3.24955
683.353, 43.2003, 65, 2, 9, 19.7812, 6.37341
972.697, 20.1753, 75, 1, 14, 23.5396, 13.8636
729.524, 49.6086, 80, 3, 11, 24.5538, 2.27075
3.52784, 1.76784, 20, 16, 12, 12.1536, 5.38022
626.06, 16.5716, 117, 10, 15, 37.6122, 3.00378
422.002, 33.1934, 73, 2, 13, 22.9893, 10.2643
875.76, 31.4477, 65, 4, 11, 26.0213, 3.34126
493.784, 44.2825, 54, 7, 19, 26.5144, 4.21652
487.672, 58.3113, 36, 14, 28, 25.7813, 3.65859
651.396, 42.7799, 36, 0, 8, 13.5414, 5.3839
979.012, 46.404, 64, 2, 16, 27.1895, 3.53299
987.355, 49.7538, 40, 3, 13, 18.4861, 17.7285
798.51, 34.7748, 79, 2, 21, 32.8254, 6.99362
100.528, 1.95348, 24, 1, 5, 8.70285, 14.3389
65.8318, 14.7609, 57, 9, 8, 24.4605, 11.4418
155.177, 17.4746, 42, 10, 16, 21.7572, 10.7721
347.319, 37.641, 29, 4, 11, 13.5904, 1.86595
675.538, 19.5635, 57, 0, 7, 20.9628, 1.84552
750.994, 50.6405, 73, 0, 7, 27.1679, 2.13482
335.213, 36.9361, 60, 0, 6, 21.3212, 2.64067
84.0229, 12.5475, 40, 1, 3, 13.959, 3.33909
736.615, 35.8131, 35, 0, 7, 13.5225, 2.13373
694.081, 27.6583, 53, 0, 11, 20.974, 16.6252
795.646, 32.2406, 53, 15, 14, 27.2669, 3.08256
313.895, 45.4944, 51, 2, 13, 21.7665, 2.05906
749.025, 33.2661, 50, 0, 6, 18.1735, 25.0549
784.43, 49.321, 36, 1, 9, 14.6228, 2.00843
690.71, 51.5061, 68, 1, 11, 12.0386, 0.000631068
0, 1, 20, 0, 0, 5.67684, 4.74309
856.547, 49.3667, 38, 0, 0, 11.6276, 2.11285
348.536, 21.2172, 26, 3, 17, 15.1454, 36.5349
864.307, 49.976, 44, 4, 10, 19.0157, 5.16413
293.261, 29.8093, 40, 3, 13, 18.047, 2.5235
1176.18, 53.2709, 51, 1, 14, 21.3406, 3.60223
615.583, 63.393, 56, 2, 12, 22.9226, 7.05263
627.661, 19.3193, 48, 0, 6, 17.9021, 16.1674
412.262, 53.4419, 58, 1, 7, 21.248, 3.36873
712.163, 56.3743, 52, 0, 10, 20.3565, 1.98263
1013.52, 25.4878, 31, 0, 9, 12.5621, 2.02463
888.672, 55.2772, 51, 1, 8, 19.3678, 4.97066
548.789, 37.0402, 53, 1, 8, 20.7109, 2.04798
134.4, 26.364, 40, 0, 10, 16.0019, 10.5551
731.296, 28.0679, 34, 0, 6, 12.6202, 1.99
640.61, 29.9967, 52, 13, 15, 26.6395, 3.9535
318.643, 63.8761, 36, 2, 8, 19.8583, 3.67468
Lego Number 0 distance 93.4823, Lego Number 0 angle 10.1714, Lego Number 1 distance 118.714, Lego Number 1 angle 17.8366, Lego Number 2 distance 31.9218, Lego Number 2 angle 42.452, Lego Number 3 distance 195.579, Lego Number 3 angle 6.021, Lego Number 0 distance 94.431, Lego Number 0 angle 9.9025, Lego Number 1 distance 116.762, Lego Number 1 angle 19.1396, Lego Number 2 distance 31.3597, Lego Number 2 angle 40.9875, Lego Number 3 distance 193.082, Lego Number 3 angle 5.97852, 437.667, 39.2405, 42, 0, 6, 15.2128, 8.17426, 82215645634968, 82184739194994, Lego Number 0 Variation Angle: 0, Lego Number 0 Variation Distance: 0, Lego Number 0 Closest Angle: 9.51514
Lego Number 0 Closest Distance: 93.5, Lego Number 0 Initial Placement Time: 4.04233, Lego Number 1 Variation Angle: 0, Lego Number 1 Variation Distance: 0, Lego Number 1 Closest Angle: 17.8249
Lego Number 1 Closest Distance: 116.995, Lego Number 1 Initial Placement Time: 6.12146, Lego Number 2 Variation Angle: 0, Lego Number 2 Variation Distance: 0, Lego Number 2 Closest Angle: 41.0972
Lego Number 2 Closest Distance: 30.9441, Lego Number 2 Initial Placement Time: 8.83521, Lego Number 3 Variation Angle: 0, Lego Number 3 Variation Distance: 0, Lego Number 3 Closest Angle: 5.59607
Lego Number 3 Closest Distance: 193.5, Lego Number 3 Initial Placement Time: 11.565, 
